latitude,longitude,title,description
34.708713,103.00976,ཀྱི་ལིང་དགོན་དགའ་ལྡན་རབ་རྒྱས་གླིང,SN_id: SNG96 Remarks: not certain for the name is not clear and there are also few other sites not clear but what looks like a temple. But this one is the closest to the reference coordinates as well as clearly see it as a temple.
34.515423,103.704522,རྣ་ལུང་སུ་རུའི་རི་ཁྲོད,SN_id: SNG97 Remarks: Verified based on the information provided in the dataset and GE. 
34.027188,103.329018,གསེར་གཞོང་བོན་དགོན,SN_id: SNG98 Remarks: Verified based on the imformation provided in GE
34.602113,103.264108,ཆས་པ་རྒྱ་མཁར་དགོན་བཤད་སྒྲུབ་དར་རྒྱས་གླིང,SN_id: SNG100 Remarks: Verified based on the imformation provided in the dataset
33.954938,103.604152,བང་ཚང་དགོན་བཀྲ་ཤིས་ཕུན་ཚོགས་གླིང,SN_id: SNG101 Remarks: Verified based on the information provided in the dataset and GE. 
34.772142,103.81803,རྡོ་དབུས་བྱམས་པ་གླིང,SN_id: SNG104 Remarks: temple shows on Ge
37.2698248850894,103.175266890072,ཞྭ་དམར་དགོན་བཀྲ་ཤིས་ཆོས་གླིང,"SN_id: SNG107 Remarks: Verified based on the book ""Monasteries of Amdo""V2`"
34.094834,103.576179,རྩ་རི་བོན་དགོན,"SN_id: SNG110 Remarks: Verified based on the information provided in the dataset,only temple closest to the reference coordinates"
34.518301,102.614689,བླ་རི་མགུལ་སྒར་རྙིང་དགའ་ལྡན་ཆོས་འཕེལ་གླིང,SN_id: SNG114 Remarks: same as the reference coordinates
35.020985,103.02638,རྐང་ཚའི་དགོན་དགའ་ལྡན་བསམ་འགྲུབ་གླིང,"SN_id: SNG115 Remarks: Verified based on the book""Monasteries of Amdo"""
33.888931,103.425578,མགོ་རྗེ ༼མགོ་བརྒྱད་བྲིས་པའང་སྣང༽ དགོན,SN_id: SNG118 Remarks: Verified based on GE. The temple shows on the Map
36.838974,102.805756,གྲོ་ཚང་རི་ཁྲོད,"SN_id: SNG120 Remarks: Verified based on the book""Monasteries of AMdo""Vol2"
35.211521,102.842032,གཏེར་ལུང་ཡིད་དགའ་ཆོས་འཛིན་གླིང,SN_id: SNG123 Remarks: nan
35.1934951409341,102.506436172784,དགའ་ལྡན་བཤད་སྒྲུབ་དར་རྒྱས་བཀྲ་ཤིས་གྱས་སུ་འཁྱིལ་བའི་གླིང,SN_id: SNG124 Remarks: Verified based on GE.The temple shows on GE
34.022189,102.062002,རྩེ་དབུས་རི་ཁྲོད་དགའ་ལྡན་བསམ་འཕེལ་གླིང,"SN_id: SNG126 Remarks: Verifie based on the book ""Monasteries os Amdo""Vol2"
34.982888,103.574184,ཤོ་བ་དགོན་མཁས་གྲུབ་གླིང,"SN_id: SNG128 Remarks: Verifie based on the book ""Monasteries os Amdo""Vol2"
33.416438,101.985681,ནུར་མའི་གསང་སྔགས་ཐར་བ་གླིང,"SN_id: SNG129 Remarks: Verifie based on the book ""Monasteries os Amdo""Vol2"
34.025849,102.065165,མཛོད་དགེ་ཉིན་མའི་བེ་ཤིང་དགོན་དགའ་ལྡན་རབ་རྒྱས་གླིང,SN_id: SNG130 Remarks: shows on GE
34.525446,102.790455,ཟམ་ཚའི་བང་ཚང་དགོན་གསང་ཆེན་ཆོས་འཕེལ་གླིང,SN_id: SNG132 Remarks: Verified based on the information provided in the dataset
34.735289,103.070007,རྒྱལ་མོའི་དགོན་བསམ་གྲུབ་གླིང,"SN_id: SNG135 Remarks: Verified based on the information provided in the following website:  http://tb.tibet.cn/tb/religion/temple/201812/t20181213_6458395.html""རེབ་ཚ་སྒྲུབ་སྡེ་ཀུན་གྱི་མ་དགོན་རྒྱལ་མོའི་བསམ་གྲུབ་གླིང་ནི་ད་ལྟའི་གཙོས་གྲོང་ཁྱེར་གྱི་ཁོངས་གཏོགས་རྒྱལ་མོ་དགོན་ཤང་དུ་ཆགས་ཡོད་དེ་དགེ་འདུན་པ་མང་བོ་འདུས་ཤིང་དར་བཞིན་པའི་སྒང་ཡིན། """
36.617375,102.82989,བྲག་དགོན་-་ཏེ་ཐུང་བྲག་དགོན་སྒྲུབ་སྡེ་མཆོག་དགའ་གླིང,"SN_id: SNG136 Remarks: verified based on the book""Monasteries of Amdo""Vol2"
34.638514,103.263318,ཆོས་པ་ཀོང་བུ་ནང་དགའ་ལྡན་བཀྲ་ཤིས་བསམ་གྲུབ་གླིང,"SN_id: SNG137 Remarks: verified based on the book""Monasteries of Amdo""Vol2"
34.671579,103.176702,རྩེ་དབུས་རི་ཁྲོད་དགེ་འཕེལ་བསམ་གཏན་གླིང,SN_id: SNG138 Remarks: nan
